Pais,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
Seychelles,899825,865925,957344,863726,766832,785600,776797,870905,912659,1023940,1034297,958739
Sierra Leone,812830,836569,875797,827076,746144,663154,538015,520221,651147,656101,714048,751274
Singapore,619773,914918,857572,815650,687351,698432,730259,678458,766473,772087,672021,683807
Sint Maarten (Dutch part),709370,827265,951992,999916,1036219,923079,1004421,956037,915203,838749,740711,683948
Slovak Republic,167469,287549,519029,663830,757589,955969,833062,660757,526141,383909,175265,115791
Slovenia,193959,340899,610195,667487,756315,1030375,892340,765862,626450,361662,205066,166646
Solomon Islands,901250,637597,787036,692391,636747,652653,680339,716197,780803,893616,886341,677787
Somalia,984101,1042096,1067099,971925,861510,799846,678650,854296,892116,907867,922036,882659
South Africa,989006,956618,882976,746804,601616,515413,576426,672610,861156,979382,1091120,1045177
South Georgia and the South Sandwich Islands,773073,630232,390272,189340,100193,63722,80258,187842,333174,575711,787010,813595
South Sudan,917686,980939,959894,939761,836763,815274,688365,841270,817287,872942,863745,854672
Spain,324431,463675,725980,792262,999071,1058304,1121882,993628,715643,562733,380325,293693
Spratly Islands,569121,826020,932829,982374,901281,818396,758269,882001,760268,655788,642573,643462
Sri Lanka,612914,851360,863578,926939,797361,863282,814535,796641,828592,711130,589699,716862
State of Palestine,500844,643413,791857,1025838,1178727,1194644,1139596,1075570,878560,672864,551915,406716
Sudan,869149,959481,1075417,1134348,1085432,1049260,954488,979539,959431,934819,878086,814610
Suriname,574940,625421,673266,602514,532002,680174,681996,791222,892961,859269,719936,531120
Svalbard and Jan Mayen Islands,9.108,3023,105536,423108,869335,927978,717136,402756,145922,13167,46.49,0
Swaziland,804652,673759,813775,690174,581095,524504,583484,603189,723774,725328,785717,763103
Sweden,35599,135779,327125,649472,706235,853701,820430,544089,311234,131314,46689,21296
Switzerland,,,,,,,,,,,,
Syrian Arab Republic,,,,,,,,,,,,
Tajikistan,,,,,,,,,,,,
Thailand,,,,,,,,,,,,
Timor-Leste,,,,,,,,,,,,
Togo,,,,,,,,,,,,
Tokelau,,,,,,,,,,,,
Tonga,,,,,,,,,,,,
Trinidad and Tobago,,,,,,,,,,,,
Tunisia,,,,,,,,,,,,
Turkey,,,,,,,,,,,,
Turkmenistan,,,,,,,,,,,,
Turks and Caicos Islands,,,,,,,,,,,,
Tuvalu,,,,,,,,,,,,
Uganda,,,,,,,,,,,,
Ukraine,,,,,,,,,,,,
United Arab Emirates,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,
United Republic of Tanzania,,,,,,,,,,,,
United States,,,,,,,,,,,,
United States Minor Outlying Islands,,,,,,,,,,,,
United States Virgin Islands,,,,,,,,,,,,
Uruguay,,,,,,,,,,,,
Uzbekistan,,,,,,,,,,,,
Vanuatu,,,,,,,,,,,,
Viet Nam,,,,,,,,,,,,
Wallis and Futuna Islands,,,,,,,,,,,,
Western Sahara,,,,,,,,,,,,
Western Samoa,,,,,,,,,,,,
Yemen,,,,,,,,,,,,
Zambia,,,,,,,,,,,,
Zimbabwe,,,,,,,,,,,,
Mordovia,86707,241775,484203,661866,801279,948972,912360,766010,364440,259040,91359,65250
